broken,no,word,ipa,th,ipa2,th2,translates/0/type,translates/0/th,translates/1/type,translates/1/th,translates/2/type,translates/2/th,translates/3/type,translates/3/th,translates/4/type,translates/4/th,translates/5/type,translates/5/th,translates/6/type,translates/6/th,translates/7/type,translates/7/th,examples/0/word,examples/0/type,examples/0/th
,610,ကပနး,kaˀ-paˀ-nɛ̀h ,กะ-ปะ-เนี่ยฮ ,,,n,ปลาเม็ดขนุนป่า,,,,,,,,,,,,,,,,,
,611,ကပလိုက်,kaˀ-paˀ-lə̤k ,กะ-ปะ-ล่าฺก ,,,n,ปลาหัวยุ่ง,,,,,,,,,,,,,,,,,
,612,ကပေါဝ်,kaˀ-pow ,กะ-โปว ,,,n,ส้มป่อย,,,,,,,,,,,,,,,,,
,613,ကဗကိတ်,kaˀ-pɛ̀ˀ-kɔeˀt ,กะ-เปี่ยะ-กิด ,,,n,ปลากัด,,,,,,,,,,,,,,,,,
,614,ကဗွဲချဟ်,kaˀ-pɛ̤ˀwòa-kʰjɒh ,กะ-เปี่ยะวั่ว-คยอฮ ,,,n,ปลาดาบลาว,,,,,,,,,,,,,,,,,
,615,ကဗၞာံ,kaˀ-pɛ̤ˀnèm ,กะ-เปี่ยะเน่ม ,,,n,ปลาตะเพียน,,,,,,,,,,,,,,,,,
,616,ကဗလုဟ်,kaˀ-pɛ̀ˀ-lùˀh ,กะ-เปี่ยะ-ลุ่ฮ ,,,n,ปลากระบอก,,,,,,,,,,,,,,,,,
,617,ကဗလေင်,kaˀ-pɛ̀ˀ-lɒˀŋ ,กะ-เปี่ยะ-ล่อง ,,,n,ปลาสังคะวาด,,,,,,,,,,,,,,,,,
,618,ကဗုင်ပေတ်,kaˀ-pɤˀŋ-pet ,กะ-เปิ่ง-เปด ,,,n,ปลาชนิดหนึ่งรูปคล้ายปลาสร้อยแต่ตัวโตกว่า,,,,,,,,,,,,,,,,,
,619,ကမနာံ,kaˀ-mɛ̀ˀ-nèm ,กะ-เมี่ยะ-เน่ม ,,,n,ปลากะมัง,,,,,,,,,,,,,,,,,
,620,ကမပနဟ်,kaˀ-mɛ̀ˀ-paˀ-nòh ,กะ-เมี่ยะ-ปะ-โน่ฮ ,,,n,ปลาชนิดหนึ่งคล้ายปลาช่อน,,,,,,,,,,,,,,,,,
,621,ကမက်,kaˀ-mɛˀk ,กะ-แม่ก ,,,n,พวงมาลัย,n,สร้อยคอ,n,อักษรกล้ำ,,,,,,,,,,,,,
,622,ကမက်မဂွါ,kaˀ-mɛˀk-mɛ̀ˀ-kwɛ̀a ,กะ-แม่ก-เมี่ยะ-เกวีย ,,,n,สร้อยคอลูกปัด,,,,,,,,,,,,,,,,,
,623,ကမင်ဂဝ်,kaˀ-mɛˀŋ-kòw ,กะ-แม่ง-โก่ว ,,,n,มังกร,,,,,,,,,,,,,,,,,
,624,ကမတ်,kaˀ-mòt ,กะ-ม่ด ,,,n,ผักแพงพวย,,,,,,,,,,,,,,,,,
,625,ကမတ်ချောဲ,kaˀ-mòt-kʰjoa ,กะ-ม่ด-คยัว ,,,n,หญ้า,,,,,,,,,,,,,,,,,
,626,ကမတ်ဒဇိပ်,kaˀ-mòt-tɛ̀ˀ-cìˀp ,กะ-ม่ด-เตี่ยะ-จิ่บ ,,,n,หญ้าแพรก,,,,,,,,,,,,,,,,,
,627,ကမတ်ဒွောံ,kaˀ-mòt-tɛ̤ˀwòˀ ,กะ-ม่ด-เตี่ยะโว่ะ,,,v,สัมผัส,v,เสียดสี,,,,,,,,,,,,,,,
,628,ကမတ်ဒွောအ်,kaˀ-mòt-tɛ̤ˀwòˀ ,กะ-ม่ด-เตี่ยะโว่ะ,,,v,สัมผัส,v,เสียดสี,,,,,,,,,,,,,,,
,629,ကမတ်လမာန်,kaˀ-mòt-lɛ̀ˀ-ma̤n ,กะ-ม่ด-เลี่ยะ-ม่าน ,,,n,หญ้าละม้าน,,,,,,,,,,,,,,,,,
,630,ကမာ,kaˀ-mɛ̀a ,กะ-เมีย ,,,n,สระน้ำ,n,บ่อน้ำ,adj,แฝด,,,,,,,,,,,,,
,631,ကမာတ်,kaˀ-ma̤t ,กะ-ม่าด ,,,n,นกแร้ง,n,นกอีแร้ง,,,,,,,,,,,,,,,
,632,ကမုဟ်,kaˀ-mùˀh ,กะ-มุ่ฮ ,,,adj,(ข้าว)เย็น,,,,,,,,,,,,,,,ပုင်ကမုဟ်,adj,ข้าวที่หุงเหลืือไว้ข้ามมื้อ
,633,ကမော်,kaˀ-mòk ,กะ-โม่ก ,,,n,โพรง,v,คำนวน,v,ตัก,,,,,,,,,,,,,
