broken,no,word,ipa,th,th2,translates/0/type,translates/0/th,translates/1/type,translates/1/th,translates/2/type,translates/2/th,translates/3/type,translates/3/th,translates/4/type,translates/4/th,translates/5/type,translates/5/th,translates/6/type,translates/6/th,translates/7/type,translates/7/th,examples/0/word,examples/0/type,examples/0/th
,270,အဝဲ,ʔaˀ-wòa ,อะ-วั่ว ,,n,อวัยวะ,n,วัย,,,,,,,,,,,,,,,
,271,အဝေါက်,ʔaˀ-wòk ,อะ-โว่ก ,,n,หน่วยเงินพม่า,,,,,,,,,,,,,,,,,
,272,အဝေါင်,ʔaˀ-wòŋ ,อะ-โว่ง ,,n,กลุ่ม,n,สังคม,n,พวก,n,เขตรับผิดชอบ,,,,,,,,,,,
,273,အဝေါန်,ʔaˀ-wòn ,อะ-โว่น ,,n,วงกลม,n,วงรอบ,n,วงรัศมี,n,มณฑล,,,,,,,,,,,
,274,အဝဵု,ʔaˀ-wɤˀw ,อะ-เวิ่ว ,,n,อำนาจ,n,อาณาจักร,,,,,,,,,,,,,,,
,275,အသနိ,ʔaˀ-saˀ-nìˀ ,อะ-ซะ-นิ่ ,,n,อัสนีบาต,n,สายฟ้า,,,,,,,,,,,,,,,
,276,အသၟဝ်,ʔaˀ-saˀmɒw ,อะ-ซะมอว ,,n,ที่ข้างล่าง,n,ที่ด้านล่าง,,,,,,,,,,,,,,,
,277,အသင်ကာ,ʔaˀ-saˀŋ-ka ,อะ-ซัง-กา ,,n,ความสงสัย,n,ความไม่แน่ใจ,,,,,,,,,,,,,,,
,278,အသင်ဃဲ,ʔaˀ-saˀŋ-kʰòa ,อะ-ซัง-คั่ว ,,n,อสงไขย,,,,,,,,,,,,,,,,,
OK,279,အသညသတ်,ʔaˀ-sɒɲ-ɲɛ̀ˀ-sɒt ,อะ-ซอญ-เญี่ยะ-ซอด ,,v,อสัญญี,v,สลบ,v,ไม่รู้สึกตัว,,,,,,,,,,,,,
,280,အသရ်,ʔaˀ-sɒr ,อะ-ซอร ,,n,ความอัศจรรย์,n,ความแปลกประหลาด,adj,อัศจรรย์,adj,แปลกประหลาด,,,,,,,,,,,
,281,အသာ,ʔaˀ-sa ,อะ-ซา ,,n,รุ่นราว,n,หมวดหมู่,n,ประเภท,n,ชนิด,,,,,,,,,,,
,282,အသာရဝါတ်,ʔaˀ-sa-rɛ̀ˀ-wa̤t ,อะ-ซา-เรี่ยะ-ว่าด ,,n,การคลายความเศร้า,n,การบรรเทาความเศร้าโศก,,,,,,,,,,,,,,,
,283,အသိတ်,ʔaˀ-sɔeˀt ,อะ-ซิด ,,n,นกแขวก,,,,,,,,,,,,,,,,,
,284,အသီ,ʔaˀ-sɔeˀm ,อะ-ซิม ,,n,นกเหยี่ยวเขา,,,,,,,,,,,,,,,,,
,285,အသဳကၠဳ,ʔaˀ-saɪ-klaɪ ,อะ-ซอย-กลอย ,,n,การรับใช้,n,การเข้าเฝ้า,n,การแสดงความเคารพ,,,,,,,,,,,,,
,286,အသဳတိ,ʔaˀ-saɪ-tɔɪ ,อะ-ซอย-ตอฺย ,,adj,แปดสิบ,,,,,,,,,,,,,,,,,
,287,အသုစိ,ʔaˀ-saò-cɔɪ ,อะ-เซ่า-จอฺย ,,n,อสุจิ,,,,,,,,,,,,,,,,,
,288,အသုဘ,ʔaˀ-saò-pʰɛ̀ˀ ,อะ-เซ่า-เพี่ยะ ,,n,อสุภะ,n,สิ่งปฏิกูล,,,,,,,,,,,,,,,
,289,အသူ,ʔaˀ-sao ,อะ-ซาว ,,n,อสูรย์,n,ยักษ์,,,,,,,,,,,,,,,
,290,အသူရိကာဲ,ʔaˀ-sao-rìˀ-kai ,อะ-ซาว-ริ่-กาย ,,n,อสุรกาย,,,,,,,,,,,,,,,,,
,291,အသေအဟာန်,ʔaˀ-se-ʔaˀ-han ,อะ-เซ-อะ-ฮาน ,,n,งานพิธี,n,งานพิธีเป็นทางการ,,,,,,,,,,,,,,,
